pair_id,pair_type,original_song_id,original_segment_id,comparison_song_id,comparison_segment_id,transformation,interval_ngram_similarity,lcs_similarity,edit_distance_similarity,chord_ngram_similarity,harmonic_edit_distance,pitch_class_similarity,rhythm_ngram_similarity,ioi_similarity,rhythmic_edit_distance,simple_average,weighted_average,original_representation,comparison_representation,weights_used
pair_000036,positive,026,01,026,01,ornamentation,0.434783,0.684211,0.684211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200356,0.240427,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/026_segment_01.json,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/ornamentation/density_0p2__random_seed_42/026_segment_01.json,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}"
pair_000037,positive,026,01,026,01,partial_rhythm_modification,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.466014,0.000000,0.051779,0.038835,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/026_segment_01.json,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/rhythm/partial_rhythm_modification/random_seed_42__strength_0p25/026_segment_01.json,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}"
pair_000038,positive,026,01,026,01,reharmonization,0.000000,0.000000,0.000000,0.523810,0.764706,0.764706,0.000000,0.000000,0.000000,0.228136,0.239542,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/026_segment_01.json,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/reharmonization/random_seed_42__strength_0p25/026_segment_01.json,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}"
pair_000039,positive,026,01,026,01,simplification,0.000000,0.000000,0.000000,0.882353,0.941176,0.970588,0.000000,0.000000,0.000000,0.310458,0.325980,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/026_segment_01.json,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/simplification/random_seed_42__strength_0p25/026_segment_01.json,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}"
pair_000040,positive,026,01,026,01,simplification,0.300000,0.562500,0.562500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.158333,0.190000,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/026_segment_01.json,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/simplification/random_seed_42__strength_0p25/026_segment_01.json,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}"
pair_000041,positive,026,01,026,01,tempo_change,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.111111,0.083333,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/026_segment_01.json,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/rhythm/tempo_change/random_seed_42__tempo_factor_0p8/026_segment_01.json,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}"
pair_000042,positive,026,01,026,01,transpose,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.400000,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/026_segment_01.json,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/transpose/random_seed_42__semitones_2/026_segment_01.json,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}"
pair_000043,positive,026,02,026,02,,1.000000,1.000000,1.000000,0.454545,0.764706,0.796078,0.000000,1.000000,0.000000,0.668370,0.718455,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/026_segment_02.json,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_harmony_rhythm/mhr__hcs_strength_0p25__mt_semitones_2__rtc_tempo_factor_0p8/026_segment_02.json,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}"
pair_000044,positive,026,02,026,02,,1.000000,1.000000,1.000000,0.454545,0.764706,0.796078,1.000000,1.000000,1.000000,0.890592,0.885122,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/026_segment_02.json,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_harmony/mh__hcs_strength_0p25__mt_semitones_2/026_segment_02.json,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}"
pair_000045,positive,026,02,026,02,,1.000000,1.000000,1.000000,0.454545,0.764706,0.796078,0.000000,1.000000,0.000000,0.668370,0.718455,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/026_segment_02.json,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/harmony_rhythm/hr__hcs_strength_0p25__rtc_tempo_factor_0p8/026_segment_02.json,"{""harmony"": 0.35, ""melody"": 0.4, ""rhythm"": 0.25}"
