song_id,segment_id,transformation,comparison_type,metric,metric_parameters,value
045,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.444444
045,01,simplification,transformed,harmonic_edit_distance,{},0.777778
045,01,simplification,transformed,pitch_class_similarity,{},0.861111
045,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.481481
045,02,chord_substitution,transformed,harmonic_edit_distance,{},0.761905
045,02,chord_substitution,transformed,pitch_class_similarity,{},0.780952
045,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
045,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
045,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
045,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.538462
045,02,reharmonization,transformed,harmonic_edit_distance,{},0.761905
045,02,reharmonization,transformed,pitch_class_similarity,{},0.771429
045,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.818182
045,02,simplification,transformed,harmonic_edit_distance,{},0.904762
045,02,simplification,transformed,pitch_class_similarity,{},0.936508
047,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.454545
047,01,chord_substitution,transformed,harmonic_edit_distance,{},0.760000
047,01,chord_substitution,transformed,pitch_class_similarity,{},0.768000
047,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
047,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
047,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
047,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.548387
047,01,reharmonization,transformed,harmonic_edit_distance,{},0.760000
047,01,reharmonization,transformed,pitch_class_similarity,{},0.779048
047,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.548387
047,01,simplification,transformed,harmonic_edit_distance,{},0.840000
047,01,simplification,transformed,pitch_class_similarity,{},0.913333
047,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.407407
047,02,chord_substitution,transformed,harmonic_edit_distance,{},0.750000
047,02,chord_substitution,transformed,pitch_class_similarity,{},0.760000
047,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
047,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
047,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
047,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.520000
047,02,reharmonization,transformed,harmonic_edit_distance,{},0.750000
047,02,reharmonization,transformed,pitch_class_similarity,{},0.760000
047,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.900000
047,02,simplification,transformed,harmonic_edit_distance,{},0.950000
047,02,simplification,transformed,pitch_class_similarity,{},0.966667
072,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.407407
072,01,chord_substitution,transformed,harmonic_edit_distance,{},0.750000
072,01,chord_substitution,transformed,pitch_class_similarity,{},0.766667
072,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
072,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
072,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
072,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.520000
072,01,reharmonization,transformed,harmonic_edit_distance,{},0.750000
072,01,reharmonization,transformed,pitch_class_similarity,{},0.750000
072,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.727273
072,01,simplification,transformed,harmonic_edit_distance,{},0.900000
072,01,simplification,transformed,pitch_class_similarity,{},0.962500
072,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.354839
072,02,chord_substitution,transformed,harmonic_edit_distance,{},0.727273
072,02,chord_substitution,transformed,pitch_class_similarity,{},0.727273
072,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
072,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
072,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
072,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.500000
072,02,reharmonization,transformed,harmonic_edit_distance,{},0.727273
072,02,reharmonization,transformed,pitch_class_similarity,{},0.742424
072,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.750000
072,02,simplification,transformed,harmonic_edit_distance,{},0.909091
072,02,simplification,transformed,pitch_class_similarity,{},0.954545
074,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.421053
074,01,chord_substitution,transformed,harmonic_edit_distance,{},0.750000
074,01,chord_substitution,transformed,pitch_class_similarity,{},0.762245
074,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
074,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
074,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
074,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.542857
074,01,reharmonization,transformed,harmonic_edit_distance,{},0.750000
074,01,reharmonization,transformed,pitch_class_similarity,{},0.785714
074,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.542857
074,01,simplification,transformed,harmonic_edit_distance,{},0.821429
074,01,simplification,transformed,pitch_class_similarity,{},0.889881
074,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.400000
074,02,chord_substitution,transformed,harmonic_edit_distance,{},0.758621
074,02,chord_substitution,transformed,pitch_class_similarity,{},0.770443
074,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
074,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
074,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
074,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.555556
074,02,reharmonization,transformed,harmonic_edit_distance,{},0.758621
074,02,reharmonization,transformed,pitch_class_similarity,{},0.791790
074,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.600000
074,02,simplification,transformed,harmonic_edit_distance,{},0.862069
074,02,simplification,transformed,pitch_class_similarity,{},0.910920
081,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.375000
081,01,chord_substitution,transformed,harmonic_edit_distance,{},0.739130
081,01,chord_substitution,transformed,pitch_class_similarity,{},0.754037
081,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
081,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
081,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
081,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.517241
081,01,reharmonization,transformed,harmonic_edit_distance,{},0.739130
081,01,reharmonization,transformed,pitch_class_similarity,{},0.739130
081,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.517241
081,01,simplification,transformed,harmonic_edit_distance,{},0.826087
081,01,simplification,transformed,pitch_class_similarity,{},0.916667
081,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.470588
081,02,chord_substitution,transformed,harmonic_edit_distance,{},0.769231
081,02,chord_substitution,transformed,pitch_class_similarity,{},0.782051
081,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
081,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
081,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
081,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.612903
081,02,reharmonization,transformed,harmonic_edit_distance,{},0.769231
081,02,reharmonization,transformed,pitch_class_similarity,{},0.769231
081,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.785714
081,02,simplification,transformed,harmonic_edit_distance,{},0.923077
081,02,simplification,transformed,pitch_class_similarity,{},0.951923
082,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.437500
082,01,chord_substitution,transformed,harmonic_edit_distance,{},0.750000
082,01,chord_substitution,transformed,pitch_class_similarity,{},0.772222
082,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
082,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
082,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
082,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.533333
082,01,reharmonization,transformed,harmonic_edit_distance,{},0.750000
082,01,reharmonization,transformed,pitch_class_similarity,{},0.758333
082,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.483871
082,01,simplification,transformed,harmonic_edit_distance,{},0.791667
082,01,simplification,transformed,pitch_class_similarity,{},0.888889
082,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.470588
082,02,chord_substitution,transformed,harmonic_edit_distance,{},0.769231
082,02,chord_substitution,transformed,pitch_class_similarity,{},0.776923
082,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
082,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
082,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
082,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.612903
082,02,reharmonization,transformed,harmonic_edit_distance,{},0.769231
082,02,reharmonization,transformed,pitch_class_similarity,{},0.807692
082,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.612903
082,02,simplification,transformed,harmonic_edit_distance,{},0.884615
082,02,simplification,transformed,pitch_class_similarity,{},0.935897
090,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.473684
090,01,chord_substitution,transformed,harmonic_edit_distance,{},0.733333
090,01,chord_substitution,transformed,pitch_class_similarity,{},0.755556
090,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
090,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
090,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
090,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.473684
090,01,reharmonization,transformed,harmonic_edit_distance,{},0.733333
090,01,reharmonization,transformed,pitch_class_similarity,{},0.755556
090,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.473684
090,01,simplification,transformed,harmonic_edit_distance,{},0.733333
090,01,simplification,transformed,pitch_class_similarity,{},0.900000
090,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.454545
090,02,chord_substitution,transformed,harmonic_edit_distance,{},0.764706
090,02,chord_substitution,transformed,pitch_class_similarity,{},0.788235
090,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
090,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
090,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
090,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.523810
090,02,reharmonization,transformed,harmonic_edit_distance,{},0.764706
090,02,reharmonization,transformed,pitch_class_similarity,{},0.776471
090,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.600000
090,02,simplification,transformed,harmonic_edit_distance,{},0.882353
090,02,simplification,transformed,pitch_class_similarity,{},0.921569
095,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.375000
095,01,chord_substitution,transformed,harmonic_edit_distance,{},0.739130
095,01,chord_substitution,transformed,pitch_class_similarity,{},0.756522
095,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
095,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
095,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
095,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.517241
095,01,reharmonization,transformed,harmonic_edit_distance,{},0.739130
095,01,reharmonization,transformed,pitch_class_similarity,{},0.747826
095,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.760000
095,01,simplification,transformed,harmonic_edit_distance,{},0.913043
095,01,simplification,transformed,pitch_class_similarity,{},0.942029
095,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.400000
095,02,chord_substitution,transformed,harmonic_edit_distance,{},0.758621
095,02,chord_substitution,transformed,pitch_class_similarity,{},0.779310
095,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
095,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
095,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
095,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.555556
095,02,reharmonization,transformed,harmonic_edit_distance,{},0.758621
095,02,reharmonization,transformed,pitch_class_similarity,{},0.765517
095,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.600000
095,02,simplification,transformed,harmonic_edit_distance,{},0.862069
095,02,simplification,transformed,pitch_class_similarity,{},0.913793
096,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.454545
096,01,chord_substitution,transformed,harmonic_edit_distance,{},0.764706
096,01,chord_substitution,transformed,pitch_class_similarity,{},0.812325
096,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
096,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
096,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
096,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.523810
096,01,reharmonization,transformed,harmonic_edit_distance,{},0.764706
096,01,reharmonization,transformed,pitch_class_similarity,{},0.784314
096,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.454545
096,01,simplification,transformed,harmonic_edit_distance,{},0.764706
096,01,simplification,transformed,pitch_class_similarity,{},0.882353
096,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.354839
096,02,chord_substitution,transformed,harmonic_edit_distance,{},0.727273
096,02,chord_substitution,transformed,pitch_class_similarity,{},0.769697
096,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
096,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
096,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
096,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.500000
096,02,reharmonization,transformed,harmonic_edit_distance,{},0.727273
096,02,reharmonization,transformed,pitch_class_similarity,{},0.754545
096,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.354839
096,02,simplification,transformed,harmonic_edit_distance,{},0.727273
096,02,simplification,transformed,pitch_class_similarity,{},0.863636
100,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.481481
100,01,chord_substitution,transformed,harmonic_edit_distance,{},0.761905
100,01,chord_substitution,transformed,pitch_class_similarity,{},0.777778
100,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
100,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
