pair_id,pair_type,transformation,interval_ngram_similarity,lcs_similarity,edit_distance_similarity,chord_ngram_similarity,harmonic_edit_distance,pitch_class_similarity,rhythm_ngram_similarity,ioi_similarity,rhythmic_edit_distance,score_melody,score_harmony,score_rhythm,score_global,simple_average,weighted_average,comparison_representation,experiment_category
pair_004566,negative,None,0.000000,0.075758,0.060606,0.011905,0.014925,0.057214,0.000000,0.116474,0.000000,0.045455,0.028015,0.038825,0.037693,0.037431,0.037693,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_harmony/mh__hcs_strength_0p25__mt_semitones_2/047_segment_02.json,Transformações Combinadas
pair_004567,negative,None,0.000000,0.030303,0.030303,0.000000,0.000000,0.000000,0.000000,0.077857,0.000000,0.020202,0.000000,0.025952,0.014569,0.015385,0.014569,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/100_segment_01.json,Outros
pair_004568,negative,None,0.000000,0.060606,0.060606,0.000000,0.044776,0.057214,0.000000,0.127578,0.000000,0.040404,0.033997,0.042526,0.038692,0.038976,0.038692,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_harmony/mh__hcs_strength_0p25__mt_semitones_2/104_segment_02.json,Transformações Combinadas
pair_004569,negative,None,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.163130,0.000000,0.000000,0.000000,0.054377,0.013594,0.018126,0.013594,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/rhythm/tempo_change/random_seed_42__tempo_factor_0p8/128_segment_02.json,Transformações Rítmicas
pair_004570,negative,None,0.009615,0.166667,0.106061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094114,0.000000,0.000000,0.037646,0.031371,0.037646,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/simplification/random_seed_42__strength_0p25/229_segment_02.json,Transformações Melódicas
pair_004571,negative,None,0.012821,0.136364,0.121212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090132,0.000000,0.000000,0.036053,0.030044,0.036053,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/simplification/random_seed_42__strength_0p25/460_segment_01.json,Transformações Melódicas
pair_004572,negative,None,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.180131,0.000000,0.000000,0.000000,0.060044,0.015011,0.020015,0.015011,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/rhythm/tempo_change/random_seed_42__tempo_factor_0p8/617_segment_01.json,Transformações Rítmicas
pair_004573,negative,None,0.011494,0.060606,0.060606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044235,0.000000,0.000000,0.017694,0.014745,0.017694,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/interval_modification/random_seed_42__strength_0p25/617_segment_02.json,Transformações Melódicas
pair_004574,negative,None,0.013158,0.106061,0.090909,0.000000,0.014925,0.037313,0.000000,0.059708,0.000000,0.070043,0.017413,0.019903,0.039087,0.035786,0.039087,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/harmony_rhythm/hr__hcs_strength_0p25__rtc_tempo_factor_0p8/634_segment_02.json,Transformações Combinadas
pair_004575,negative,None,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094716,0.000000,0.000000,0.000000,0.031572,0.007893,0.010524,0.007893,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/rhythm/duration_scaling/duration_factor_1p2__random_seed_42/664_segment_01.json,Transformações Rítmicas
pair_004576,negative,None,0.000000,0.000000,0.000000,0.019608,0.089552,0.057214,0.000000,0.000000,0.000000,0.000000,0.055458,0.000000,0.019410,0.018486,0.019410,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/reharmonization/random_seed_42__strength_0p25/792_segment_02.json,Transformações Harmônicas
pair_004577,negative,None,0.010989,0.136364,0.106061,0.000000,0.000000,0.000000,0.000000,0.178141,0.000000,0.084471,0.000000,0.059380,0.048634,0.047950,0.048634,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_rhythm/mr__mt_semitones_2__rtc_tempo_factor_0p8/826_segment_02.json,Transformações Combinadas
pair_004578,negative,None,0.012821,0.090909,0.090909,0.000000,0.000000,0.012438,0.000000,0.081725,0.000000,0.064880,0.004146,0.027242,0.034213,0.032089,0.034213,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/859_segment_01.json,Outros
pair_004579,negative,None,0.000000,0.150943,0.132075,0.012987,0.111111,0.052469,0.000000,0.174220,0.000000,0.094339,0.058856,0.058073,0.072854,0.070423,0.072854,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_harmony_rhythm/mhr__hcs_strength_0p25__mt_semitones_2__rtc_tempo_factor_0p8/082_segment_02.json,Transformações Combinadas
pair_004580,negative,None,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.148207,0.000000,0.000000,0.000000,0.049402,0.012351,0.016467,0.012351,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/rhythm/partial_rhythm_modification/random_seed_42__strength_0p25/095_segment_01.json,Transformações Rítmicas
pair_004581,negative,None,0.000000,0.000000,0.000000,0.000000,0.000000,0.006173,0.000000,0.000000,0.000000,0.000000,0.002058,0.000000,0.000720,0.000686,0.000720,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/chord_substitution/random_seed_42__strength_0p25/100_segment_01.json,Transformações Harmônicas
pair_004582,negative,None,0.000000,0.094340,0.075472,0.000000,0.037037,0.040123,0.000000,0.180058,0.000000,0.056604,0.025720,0.060019,0.046648,0.047448,0.046648,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_harmony/mh__hcs_strength_0p25__mt_semitones_2/104_segment_02.json,Transformações Combinadas
